iccs,unit,geo,year,value,category
ICCS0101,NR,AT,2008,58.0,homicide
ICCS0101,NR,AT,2009,51.0,homicide
ICCS0101,NR,AT,2010,61.0,homicide
ICCS0101,NR,AT,2011,80.0,homicide
ICCS0101,NR,AT,2012,88.0,homicide
ICCS0101,NR,AT,2013,63.0,homicide
ICCS0101,NR,AT,2014,43.0,homicide
ICCS0101,NR,AT,2015,42.0,homicide
ICCS0101,NR,AT,2016,49.0,homicide
ICCS0101,NR,AT,2017,61.0,homicide
ICCS0101,NR,AT,2018,73.0,homicide
ICCS0101,NR,AT,2019,74.0,homicide
ICCS0101,NR,AT,2020,54.0,homicide
ICCS0101,NR,AT,2021,59.0,homicide
ICCS0101,NR,AT,2022,65.0,homicide
ICCS0101,NR,AT,2023,75.0,homicide
ICCS0101,NR,AT,2024,78.0,homicide
ICCS0101,NR,BE,2008,204.0,homicide
ICCS0101,NR,BE,2009,189.0,homicide
ICCS0101,NR,BE,2010,189.0,homicide
ICCS0101,NR,BE,2011,214.0,homicide
ICCS0101,NR,BE,2012,206.0,homicide
ICCS0101,NR,BE,2013,204.0,homicide
ICCS0101,NR,BE,2014,210.0,homicide
ICCS0101,NR,BE,2015,231.0,homicide
ICCS0101,NR,BE,2016,175.0,homicide
ICCS0101,NR,BE,2017,198.0,homicide
ICCS0101,NR,BE,2018,192.0,homicide
ICCS0101,NR,BE,2019,147.0,homicide
ICCS0101,NR,BE,2020,149.0,homicide
ICCS0101,NR,BE,2021,158.0,homicide
ICCS0101,NR,BE,2022,188.0,homicide
ICCS0101,NR,BE,2023,165.0,homicide
ICCS0101,NR,BE,2024,166.0,homicide
ICCS0101,NR,BG,2008,172.0,homicide
ICCS0101,NR,BG,2009,150.0,homicide
ICCS0101,NR,BG,2010,148.0,homicide
ICCS0101,NR,BG,2011,128.0,homicide
ICCS0101,NR,BG,2012,141.0,homicide
ICCS0101,NR,BG,2013,109.0,homicide
ICCS0101,NR,BG,2014,112.0,homicide
ICCS0101,NR,BG,2015,126.0,homicide
ICCS0101,NR,BG,2016,79.0,homicide
ICCS0101,NR,BG,2017,95.0,homicide
ICCS0101,NR,BG,2018,92.0,homicide
ICCS0101,NR,BG,2019,81.0,homicide
ICCS0101,NR,BG,2020,67.0,homicide
ICCS0101,NR,BG,2021,89.0,homicide
ICCS0101,NR,BG,2022,76.0,homicide
ICCS0101,NR,BG,2023,74.0,homicide
ICCS0101,NR,BG,2024,79.0,homicide
ICCS0101,NR,CY,2008,9.0,homicide
ICCS0101,NR,CY,2009,19.0,homicide
ICCS0101,NR,CY,2010,7.0,homicide
ICCS0101,NR,CY,2011,8.0,homicide
ICCS0101,NR,CY,2012,19.0,homicide
ICCS0101,NR,CY,2013,11.0,homicide
ICCS0101,NR,CY,2014,10.0,homicide
ICCS0101,NR,CY,2015,12.0,homicide
ICCS0101,NR,CY,2016,11.0,homicide
ICCS0101,NR,CY,2017,7.0,homicide
ICCS0101,NR,CY,2018,14.0,homicide
ICCS0101,NR,CY,2019,13.0,homicide
ICCS0101,NR,CY,2020,15.0,homicide
ICCS0101,NR,CY,2021,14.0,homicide
ICCS0101,NR,CY,2022,7.0,homicide
ICCS0101,NR,CY,2023,10.0,homicide
ICCS0101,NR,CY,2024,9.0,homicide
ICCS0101,NR,CZ,2008,113.0,homicide
ICCS0101,NR,CZ,2009,105.0,homicide
ICCS0101,NR,CZ,2010,105.0,homicide
ICCS0101,NR,CZ,2011,83.0,homicide
ICCS0101,NR,CZ,2012,95.0,homicide
ICCS0101,NR,CZ,2013,90.0,homicide
ICCS0101,NR,CZ,2014,81.0,homicide
ICCS0101,NR,CZ,2015,88.0,homicide
ICCS0101,NR,CZ,2016,65.0,homicide
ICCS0101,NR,CZ,2017,40.0,homicide
ICCS0101,NR,CZ,2018,55.0,homicide
ICCS0101,NR,CZ,2019,81.0,homicide
ICCS0101,NR,CZ,2020,57.0,homicide
ICCS0101,NR,CZ,2021,46.0,homicide
ICCS0101,NR,CZ,2022,79.0,homicide
ICCS0101,NR,CZ,2023,68.0,homicide
ICCS0101,NR,CZ,2024,69.0,homicide
ICCS0101,NR,DE,2008,656.0,homicide
ICCS0101,NR,DE,2009,721.0,homicide
ICCS0101,NR,DE,2010,699.0,homicide
ICCS0101,NR,DE,2011,689.0,homicide
ICCS0101,NR,DE,2012,619.0,homicide
ICCS0101,NR,DE,2013,623.0,homicide
ICCS0101,NR,DE,2014,645.0,homicide
ICCS0101,NR,DE,2015,655.0,homicide
ICCS0101,NR,DE,2016,747.0,homicide
ICCS0101,NR,DE,2017,738.0,homicide
ICCS0101,NR,DE,2018,632.0,homicide
ICCS0101,NR,DE,2019,586.0,homicide
ICCS0101,NR,DE,2020,719.0,homicide
ICCS0101,NR,DE,2021,631.0,homicide
ICCS0101,NR,DE,2022,614.0,homicide
ICCS0101,NR,DE,2023,661.0,homicide
ICCS0101,NR,DE,2024,694.0,homicide
ICCS0101,NR,DK,2008,53.0,homicide
ICCS0101,NR,DK,2009,56.0,homicide
ICCS0101,NR,DK,2010,49.0,homicide
ICCS0101,NR,DK,2011,49.0,homicide
ICCS0101,NR,DK,2012,43.0,homicide
ICCS0101,NR,DK,2013,41.0,homicide
ICCS0101,NR,DK,2014,62.0,homicide
ICCS0101,NR,DK,2015,52.0,homicide
ICCS0101,NR,DK,2016,53.0,homicide
ICCS0101,NR,DK,2017,61.0,homicide
ICCS0101,NR,DK,2018,54.0,homicide
ICCS0101,NR,DK,2019,54.0,homicide
ICCS0101,NR,DK,2020,51.0,homicide
ICCS0101,NR,DK,2021,42.0,homicide
ICCS0101,NR,DK,2022,59.0,homicide
ICCS0101,NR,DK,2023,53.0,homicide
ICCS0101,NR,DK,2024,52.0,homicide
ICCS0101,NR,EE,2008,84.0,homicide
ICCS0101,NR,EE,2009,70.0,homicide
ICCS0101,NR,EE,2010,70.0,homicide
ICCS0101,NR,EE,2011,65.0,homicide
ICCS0101,NR,EE,2012,63.0,homicide
ICCS0101,NR,EE,2013,52.0,homicide
ICCS0101,NR,EE,2014,41.0,homicide
ICCS0101,NR,EE,2015,50.0,homicide
ICCS0101,NR,EE,2016,33.0,homicide
ICCS0101,NR,EE,2017,29.0,homicide
ICCS0101,NR,EE,2018,25.0,homicide
ICCS0101,NR,EE,2019,23.0,homicide
ICCS0101,NR,EE,2020,37.0,homicide
ICCS0101,NR,EE,2021,19.0,homicide
ICCS0101,NR,EE,2022,18.0,homicide
ICCS0101,NR,EE,2023,18.0,homicide
ICCS0101,NR,EE,2024,25.0,homicide
ICCS0101,NR,EL,2008,139.0,homicide
ICCS0101,NR,EL,2009,143.0,homicide
ICCS0101,NR,EL,2010,176.0,homicide
ICCS0101,NR,EL,2011,184.0,homicide
ICCS0101,NR,EL,2012,165.0,homicide
ICCS0101,NR,EL,2013,141.0,homicide
ICCS0101,NR,EL,2014,105.0,homicide
ICCS0101,NR,EL,2015,86.0,homicide
ICCS0101,NR,EL,2016,81.0,homicide
ICCS0101,NR,EL,2017,78.0,homicide
ICCS0101,NR,EL,2018,94.0,homicide
ICCS0101,NR,EL,2019,76.0,homicide
ICCS0101,NR,EL,2020,73.0,homicide
ICCS0101,NR,EL,2021,89.0,homicide
ICCS0101,NR,EL,2022,79.0,homicide
ICCS0101,NR,EL,2023,76.0,homicide
ICCS0101,NR,EL,2024,81.0,homicide
ICCS0101,NR,ES,2008,407.0,homicide
ICCS0101,NR,ES,2009,412.0,homicide
ICCS0101,NR,ES,2010,401.0,homicide
ICCS0101,NR,ES,2011,385.0,homicide
ICCS0101,NR,ES,2012,364.0,homicide
ICCS0101,NR,ES,2013,302.0,homicide
ICCS0101,NR,ES,2014,323.0,homicide
ICCS0101,NR,ES,2015,302.0,homicide
ICCS0101,NR,ES,2016,294.0,homicide
ICCS0101,NR,ES,2017,307.0,homicide
ICCS0101,NR,ES,2018,289.0,homicide
ICCS0101,NR,ES,2019,331.0,homicide
ICCS0101,NR,ES,2020,298.0,homicide
ICCS0101,NR,ES,2021,290.0,homicide
ICCS0101,NR,ES,2022,325.0,homicide
ICCS0101,NR,ES,2023,333.0,homicide
ICCS0101,NR,ES,2024,349.0,homicide
ICCS0101,NR,FI,2008,160.0,homicide
ICCS0101,NR,FI,2009,138.0,homicide
ICCS0101,NR,FI,2010,133.0,homicide
